header_seq,header_stamp,header_frame_id,t,is_single_rotor_thrust,collective_thrust,bodyrates_x,bodyrates_y,bodyrates_z,thrusts_0,thrusts_1,thrusts_2,thrusts_3
16794,614.139,,614.139,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16795,614.238,,614.238,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16796,614.334,,614.334,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16797,614.433,,614.433,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16798,614.532,,614.532,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16799,614.622,,614.622,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16800,614.715,,614.715,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16801,614.808,,614.808,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16802,614.892,,614.892,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16803,614.988,,614.988,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16804,615.075,,615.075,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16805,615.171,,615.171,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16806,615.267,,615.267,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16807,615.363,,615.363,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16808,615.459,,615.459,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16809,615.558,,615.558,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16810,615.648,,615.648,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16811,615.744,,615.744,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16812,615.843,,615.843,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16813,615.939,,615.939,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16814,616.035,,616.035,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16815,616.131,,616.131,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16816,616.23,,616.23,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16817,616.326,,616.326,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16818,616.425,,616.425,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16819,616.521,,616.521,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16820,616.62,,616.62,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16821,616.716,,616.716,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16822,616.815,,616.815,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16823,616.911,,616.911,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16824,617.01,,617.01,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16825,617.106,,617.106,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16826,617.205,,617.205,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16827,617.301,,617.301,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16828,617.4,,617.4,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16829,617.496,,617.496,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16830,617.592,,617.592,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16831,617.691,,617.691,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16832,617.787,,617.787,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16833,617.886,,617.886,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16834,617.982,,617.982,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16835,618.081,,618.081,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16836,618.177,,618.177,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16837,618.276,,618.276,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16838,618.372,,618.372,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16839,618.471,,618.471,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16840,618.567,,618.567,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16841,618.666,,618.666,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16842,618.753,,618.753,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16843,618.849,,618.849,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
